,channel_name,category,category_ID,length_of_channel_description,age_of_channel,channel_publishe_year,channel_publishe_month,subscriber_count,views,total_videos,single_playlist_id
801,Travel Thirsty,Travel & Events,19,149,3584,2013,1,7840000,3506504269,779,UUHKVXtT1YBCYUnnr4apqXfg
802,Blue Club ,Travel & Events,19,31,4343,2010,12,6850000,789394951,36,UU7nGdI1YVbdj0lBqEeg8KxQ
803,Food Insider,Travel & Events,19,883,1853,2017,10,4450000,1699720140,1329,UUwiTOchWeKjrJZw7S1H__1g
804,OmarGoshTV,Travel & Events,19,504,4002,2011,11,4190000,686291673,639,UUq52Fv9Jn7js4neFjaju3Fg
805,Strictly Dumpling,Travel & Events,19,134,3304,2013,10,4140000,966795951,641,UUXOKEdfOFxsHO_-Su3K8SHg
806,Drew Binsky,Travel & Events,19,433,3762,2012,7,3330000,709218910,990,UU0Ize0RLIbGdH5x4wI45G-A
807,Kara and Nate,Travel & Events,19,998,2532,2015,12,3310000,629657943,860,UU4ijq8Cg-8zQKx8OH12dUSw
808,Kid Ink,Travel & Events,19,58,4506,2010,7,3170000,1666953782,202,UUEzb3ViT0NJ3XhbPaiRM1Qg
809,Sam Chui,Travel & Events,19,258,5488,2007,11,3150000,758343185,441,UUfYCRj25JJQ41JGPqiqXmJw
810,Johnny Harris,Travel & Events,19,289,4176,2011,6,3060000,234778144,123,UUmGSJVG3mCRXVOP4yZrU1Dw
811,shiey,Travel & Events,19,15,3340,2013,9,2410000,183742617,119,UUpXwMqnXfJzazKS5fJ8nrVw
812,Mike Tompkins,Travel & Events,19,933,5958,2006,7,2370000,421023239,209,UUYEnCCeFBCbrlmuNVzs21LQ
813,Harald Baldr,Travel & Events,19,109,2796,2015,3,2320000,307412381,233,UUKr68ZJ4vv6VloNdnS2hjhA
814,KittiesMama,Travel & Events,19,582,5208,2008,8,2300000,1562982184,1126,UUwMrVVdT2tS4_UjlqRFwQ9g
815,FUNG BROS.,Travel & Events,19,255,4193,2011,5,2170000,452692956,1101,UU9avFXTdbSo5ATvzTRnAVFg
816,Aden Films,Travel & Events,19,730,3749,2012,8,2110000,1017636135,695,UUu9g5OmzcCpcJnmSYyHnIVw
817,Lost LeBlanc,Travel & Events,19,217,2870,2015,1,2050000,201730271,786,UUt_NLJ4McJlCyYM-dSPRo7Q
818,Yummy Yammy,Travel & Events,19,180,1098,2019,11,1970000,828708014,693,UUgO0aJHs7kQ-vWSI12_TLfQ
819,RED FOOD,Travel & Events,19,77,2816,2015,2,1890000,679593847,1234,UUvWulTmPsyUscivbwE-xg2Q
820,푸디랜드 FoodieLand,Travel & Events,19,717,973,2020,3,1860000,958506611,741,UUHy8o-_zR_vHqpPN4uNUvkg
821,Theme Park Review,Travel & Events,19,864,4632,2010,3,1850000,1361850946,2750,UUT-LpxQVr4JlrC_mYwJGJ3Q
822,Attractions 360°,Travel & Events,19,656,3145,2014,4,1700000,982351913,1138,UUbDGvfJHf0r_WjS9voB8POA
823,Just Planes,Travel & Events,19,274,5907,2006,9,1620000,570676203,2586,UUr8T9rFNMB3tLAW2TSFZc2A
824,Rick Steves' Europe,Travel & Events,19,602,6097,2006,3,1610000,348005863,1920,UUchgIh8Tc4sTmBfnMQ5pDdg
825,Whitney Bjerken,Travel & Events,19,566,4207,2011,5,1610000,708835363,695,UUUPfRa2JQtzWQZC7mLsr7bQ
826,PraveenMohan,Travel & Events,19,698,4209,2011,5,1570000,243482867,578,UUe3OmUXohXrXnNZSRl5Z9kA
827,Disney Parks,Travel & Events,19,290,5828,2006,11,1570000,554491370,2222,UU1xwwLwm6WSMbUn_Tp597hQ
828,Nellifornication,Travel & Events,19,223,1478,2018,10,1500000,366248747,327,UUhsWRtPH1RZ2TCfHF_TP_kA
829,More Best Ever Food Review Show,Travel & Events,19,64,1262,2019,5,1480000,193925332,132,UUXw1ddyrUmib3zmCmvSI1ow
830,Collin Abroadcast,Travel & Events,19,115,3787,2012,7,1460000,163981325,92,UUXsQlHGuoWqukC9vz-uonrg
831,The Bucket List Family,Travel & Events,19,229,2688,2015,7,1420000,200193185,357,UUuAHfJyWROB4XRReS43EWUw
832,The Ninja Fam!,Travel & Events,19,534,725,2020,11,1390000,355460403,75,UUU3Q7YbKNK6yTsG-g7v-5Ug
833,TPMvids,Travel & Events,19,182,3219,2014,1,1350000,309914013,270,UUMddDi4iCT8Rz8L0JL-bH7Q
834,Ako Stark,Travel & Events,19,0,4466,2010,8,1340000,24151,1,UU37phS0lPRTbsAUNmTRX-Zw
835,Peter Santenello,Travel & Events,19,807,5045,2009,1,1340000,169449088,261,UU3Vuq4Q1bKFtAiKYlwRv3oA
836,Inside the Magic,Travel & Events,19,290,6045,2006,4,1330000,1212244929,5129,UUYdNtGaJkrtn04tmsmRrWlw
837,CoasterForce,Travel & Events,19,441,5984,2006,6,1280000,772051954,3362,UUIxiXRZqUv9zYVM80cz6ZnA
838,Kurt Caz,Travel & Events,19,55,2436,2016,3,1240000,141042696,111,UU29vLPlafHcsqZu3L-Rk_pA
839,Bangladeshi Food Reviewer,Travel & Events,19,589,3866,2012,4,1210000,283137836,911,UUR9-c_ryeb4OM_I3c3zUFYw
840,Vadhir Derbez,Travel & Events,19,0,5602,2007,7,1200000,86206002,153,UUMpvkv7p_TQtqhj7M-X9rxw
841,sweetandtastyTV,Travel & Events,19,101,6201,2005,11,1190000,174611052,542,UU9aWBNR-mDNzgRsO3XLJ7uw
842,FoodyTrip 푸디트립,Travel & Events,19,81,1833,2017,11,1180000,446010230,465,UUDBFchGuAOy5-2sy8nYMVxA
843,Nate & Nessa The Explorers,Travel & Events,19,604,3176,2014,3,1170000,704868964,420,UUgGwuSL-fVxZoztAR1oe5IQ
844,Miss Mina,Travel & Events,19,113,2755,2015,4,1150000,180906359,345,UU8hI77bH0VraIw6p2PHwivQ
845,Expedia,Travel & Events,19,26,5996,2006,6,1140000,291118362,674,UUGaOvAFinZ7BCN_FDmw74fQ
846,The Kleb,Travel & Events,19,79,2650,2015,8,1140000,99161856,128,UUkUCUr0wSV-eN2oRnTRS01g
847,Sunty Dreams,Travel & Events,19,778,1659,2018,4,1140000,128244283,312,UUV58hE-D4viqzIsGkJX-xtA
848,Nomadic Ambience,Travel & Events,19,343,1947,2017,7,1100000,100885605,197,UUqRTj-Nu_8to3jIBlXptOtA
849,Planet Doc Full Documentaries,Travel & Events,19,274,3265,2013,12,1080000,390743654,845,UUetpfrEDE4AgKEu4vYdwMGQ
850,Davidsbeenhere,Travel & Events,19,716,5224,2008,7,1070000,243320248,2925,UU9SSUKnJIJxUjTD3eBaymLQ
851,Adrenaline Addiction,Travel & Events,19,425,5625,2007,6,1070000,147051587,280,UUrUP38Gv4spk2rHoIxZmG3A
852,Настоящее Время. Док,Travel & Events,19,265,1437,2018,12,1000000,262909432,1434,UUJ6Pq_rvhBWQW8sw7rYlkfw
853,Amazing Places on Our Planet,Travel & Events,19,358,5434,2007,12,1000000,241865714,361,UUYWJ32GJbOgtzU2uHh0OMCQ
854,MouseSteps / JWL Media,Travel & Events,19,424,5101,2008,11,965000,773101715,5519,UUe-gHr2O_LP7t0YJYHZQZlg
855,Jankari,Travel & Events,19,545,1724,2018,2,959000,1550844,10,UUageWcrf4cav7Xk7crIKrSQ
856,4K Relaxation Channel,Travel & Events,19,918,2776,2015,4,956000,300275639,1070,UUg72Hd6UZAgPBAUZplnmPMQ
857,Mizzy's Parrots,Travel & Events,19,117,2986,2014,9,955000,357888872,57,UUocAiQFhnbR7YWwSUeNI0Tg
858,Юрий Гагарин - Russian war diggers,Travel & Events,19,895,4250,2011,3,955000,296328663,280,UU_XcL8d1lFZAlgTvDMK4leQ
859,stance,Travel & Events,19,341,3153,2014,3,946000,360174047,5276,UUgiz3Pm3FBhDyy3g_fP5OVA
860,Wolters World,Travel & Events,19,868,4950,2009,4,921000,211283313,2210,UUFr3sz2t3bDp6Cux08B93KQ
861,Nature Relaxation Films,Travel & Events,19,997,5923,2006,8,904000,272414966,565,UU4lp9Emg1ci8eo2eDkB-Tag
862,Attractions Magazine,Travel & Events,19,297,5572,2007,8,901000,617180694,7212,UUFpI4b_m-449cePVasc2_8g
863,KEEMI,Travel & Events,19,10,2624,2015,9,896000,202988773,786,UUHn2-DNS5t4tEXqBK5bHmTQ
864,TheTimTracker,Travel & Events,19,394,4887,2009,6,890000,500544937,4606,UUoocMG5lMACNKgpvqKay2lg
865,Khám phá vùng quê,Travel & Events,19,310,3446,2013,6,867000,469921112,1889,UUF0CxJWbKpjH8uTHgA-WSdQ
866,Zalmi Plays,Travel & Events,19,49,617,2021,3,864000,128234935,127,UUF0Q1KAZafJxuhWdg9PemAA
867,DFBGuide,Travel & Events,19,705,2394,2016,4,857000,265884126,1347,UUnpWedLQdHpZqhgTLdB9Yyg
868,Sailing SV Delos,Travel & Events,19,529,5659,2007,5,811000,210243244,524,UUvLc83k5o11EIF1lEo0VmuQ
869,Cheap Street Food,Travel & Events,19,73,1231,2019,7,812000,719529912,3249,UULpnxDi6izFQBeSK5aWIt2w
870,Asma Nour channel,Travel & Events,19,468,2544,2015,11,756000,49803091,330,UUGLLvnDqKdUcAuonFvtmzyQ
871,Viajando con Vero,Travel & Events,19,341,2021,2017,5,747000,221111346,311,UULWCLAx6Gbs2J75Ts5IAiKA
872,Volpe Where Are You,Travel & Events,19,68,1840,2017,10,742000,77847529,240,UUcPVzEbEIv1GUl_c4owKuhg
873,Jacob Laukaitis,Travel & Events,19,834,2837,2015,2,726000,77290518,121,UU6am0tFqAQVqYwF2YV31zZQ
874,Adnan Faruque,Travel & Events,19,760,2074,2017,3,721000,101853117,481,UUkj1SmNfhyhUDxZO7VvWB0A
875,Kraig Adams,Travel & Events,19,57,4314,2011,1,716000,44520098,163,UUpnuadQ_w3r6f4Q_NRlqd-w
876,Top Lists,Travel & Events,19,218,3149,2014,3,711000,166467528,321,UUpOlCpYDCelxVJWtbZsYOmQ
877,Dustin Cheverier,Travel & Events,19,19,1546,2018,8,710000,66513897,213,UUIeSxL6scxPTOiGOeFyT4QQ
878,Guufood,Travel & Events,19,323,2046,2017,4,710000,326854213,2575,UUheirEwFqYmjQbXQUb1w0SQ
879,J Utah,Travel & Events,19,218,3083,2014,6,707000,178190447,611,UUBcVQr-07MH-p9e2kRTdB3A
880,AwesomeDocumentary,Travel & Events,19,145,3553,2013,2,691000,407034034,727,UUAGygjFFTXzgRRhcwo0Ga4A
881,Ford Quarterman,Travel & Events,19,971,2860,2015,1,670000,65549337,170,UUjvWmAY6zNmMILCm1ECrnZg
882,Isabela Merced,Travel & Events,19,0,3776,2012,7,669000,70827013,38,UUVwGIQMTao-7DVidoyBvpDw
883,TCTVi,Travel & Events,19,216,2908,2014,11,667000,3920456,94,UUwvVlfz8Xg_o49ji_r5pdDQ
884,Nacir A.S Vlogs,Travel & Events,19,387,3354,2013,9,662000,36993554,622,UUF-q_t1V_8w_7f6TwE1kOAw
885,Timoc Vlogs,Travel & Events,19,203,3090,2014,5,636000,70640913,159,UUfD_uJ6m7UUmMGhYYtS6TyA
886,The Perkins,Travel & Events,19,0,2620,2015,9,635000,32712974,62,UU0mUI4iBn1ptBZFj_mc35kg
887,FIN FROG THAILAND,Travel & Events,19,42,3233,2014,1,633000,137165932,581,UULfZDcIh2uyLZoBdUwn_2Og
888,CheapRVliving,Travel & Events,19,785,3910,2012,2,623000,127553736,1155,UUAj7O3LCDbkIR54hAn6Zz7A
889,ThemeParkHD,Travel & Events,19,269,3644,2012,11,615000,384143670,3167,UU37BPLRnJzSuPwbV07F2PUQ
890,Gaijin Goombah,Travel & Events,19,96,3964,2012,1,603000,80538761,398,UUxNcCtPqqGIMEDwDACPVoHg
891,scooby1961,Travel & Events,19,466,5948,2006,8,601000,268408668,1299,UU1XHNZDn3btv7454Pkz7THg
892,Sharp Productions,Travel & Events,19,489,6105,2006,2,600000,409607515,1470,UUGsF1XNO_FLgjQtO6RM461A
893,Love Stories TV - Emotional Wedding Videos,Travel & Events,19,302,2603,2015,9,597000,434578440,1153,UU5ntpzpHROXC6lgBc6vuScQ
894,Making it happen Vlog,Travel & Events,19,394,2858,2015,1,594000,121806011,1606,UUuS5fmeEDpnW5JPMdRhGm7A
895,BROMAS LA CHELCHA EL KUNi,Travel & Events,19,151,2162,2016,12,592000,64894353,441,UUULyUeUUvYGWRJv-6BNPibw
896,CharlieBo313,Travel & Events,19,120,4762,2009,10,585000,224102457,1417,UUXpkSlxIY73Wr6jbCb2eKLA
897,5-Minute Crafts,Entertainment,24,202,2189,2016,11,77900000,24501241528,5780,UU295-Dw_tDNtZXFeAPAW6Aw
898,Selena Gomez,Entertainment,24,38,5392,2008,02,31700000,11921568987,188,UUPNxhDvTcytIdvwXWAm43cA
899,Troom Troom,Entertainment,24,132,2619,2015,09,23300000,9916885278,2062,UUWwqHwqLSrdWMgp5DZG5Dzg
900,Tasty,Entertainment,24,697,2487,2016,01,21000000,5569849595,4383,UUJFp8uSYCjXOMnkUyb3CQ3Q
901,5-Minute Crafts DIY,Entertainment,24,150,1760,2018,01,20800000,4968325225,4255,UU2etEuPIfohP4P53wM0KImA
902,5-Minute Crafts PLAY,Entertainment,24,148,1840,2017,10,20000000,5827295280,4718,UU57XAjJ04TY8gNxOWf-Sy0Q
903,jeffreestar,Entertainment,24,199,6116,2006,02,15900000,2586566221,433,UUkvK_5omS-42Ovgah8KRKtg
904,5-Minute Crafts FAMILY,Entertainment,24,186,1431,2018,12,15200000,5720920226,3646,UU63mNFJR8EAb8wAIJwoCmTA
905,5-Minute Crafts Recycle,Entertainment,24,62,1255,2019,06,14000000,8065703046,3043,UUCLVg6BI7NxDIp6GFKfFGFw
906,Rosanna Pansino,Entertainment,24,484,4602,2010,04,14000000,4230028369,1074,UUjwmbv6NE4mOh8Z8VhPUx1Q
907,Wengie,Entertainment,24,466,4448,2010,09,13600000,1887402665,405,UUD9PZYV5heAevh9vrsYmt1g
908,ATHLEAN-X™,Entertainment,24,922,5811,2006,12,13000000,2210692707,1314,UUe0TLA0EsQbE-MjuHXevj2A
909,Blossom,Entertainment,24,159,1991,2017,06,12600000,4393471509,626,UU2WuPTt0k8yDJpfenggOAVQ
910,Vogue,Entertainment,24,339,5250,2008,06,12300000,3665930371,2816,UURXiA3h1no_PFkb1JCP0yMA
911,123 GO!,Entertainment,24,349,1396,2019,01,12000000,4451478055,421,UUBXNpF6k2n8dsI6nBH8q4sQ
912,办公室小野 Ms Yeah,Entertainment,24,92,2097,2017,02,12000000,3665263322,384,UURB4xZ_2ew7fzmrcv8aj4Lw
913,Vy Qwaint,Entertainment,24,248,3168,2014,03,11500000,5561204780,556,UUmRY4NSGK52lP_Lz11CjdYw
914,Yoga With Adriene,Entertainment,24,967,3727,2012,08,11500000,1229578011,653,UUFKE7WVJfvaHW5q283SxchA
915,Taylor RS,Entertainment,24,264,2445,2016,03,11300000,3456506275,2004,UUCdYYruzqbr0FdNehbUoUiw
916,MyLifeAsEva,Entertainment,24,316,4129,2011,07,11300000,1536002887,329,UUAoMPWcQKA_9Af5YhWdrZgw
917,Avocado Couple I Crazy Comics,Entertainment,24,519,1567,2018,07,11300000,3061991465,698,UUzrMFWFWPou9RCMufXwWdDg
918,5-Minute Crafts LIKE,Entertainment,24,149,1018,2020,01,10900000,4556270893,2915,UUzTWHWnJ6VIcbkpqyv7_FaQ
919,5-Minute Recipes,Entertainment,24,202,1339,2019,03,10300000,3136153072,3059,UUkqaQoGJ2rAHhWk7gzsb9Aw
920,T-STUDIO,Entertainment,24,386,2722,2015,06,10200000,723092770,408,UUZGcvm26TfY3g1EQ-ohXBvg
921,5-Minute Crafts TEENS,Entertainment,24,196,1381,2019,02,9640000,2911528159,3366,UU1SaV8cJ5u5U9iEZS6QRbpg
922,Bethany Mota,Entertainment,24,119,4906,2009,06,9570000,836999043,309,UUc6W7efUSkd9YYoxOnctlFg
923,Niki and Gabi,Entertainment,24,816,3723,2012,09,9460000,1334584023,514,UUuVHOs0H5hvAHGr8O4yIBNQ
924,YouTube Viewers,Entertainment,24,539,5673,2007,05,9380000,282756884,131,UUMDQxm7cUx3yXkfeHa5zJIQ
925,Troom Troom SELECT,Entertainment,24,43,2765,2015,04,9350000,3772619955,1744,UUIJ44QRtVGm_gBh_deuL5ow
926,Tom Slime,Entertainment,24,207,2467,2016,02,9260000,3339468740,2685,UUOs8VELPB5GC_eKibH9e-CQ
927,Karina Garcia,Entertainment,24,427,3677,2012,10,9230000,1708352299,452,UUTTJMptGhfJA67e40DlqbNw
928,So Yummy,Entertainment,24,583,2158,2016,12,9170000,3255609828,653,UUH8NnRkxQg1zX7mHFRPq73g
929,La Capital,Entertainment,24,69,2316,2016,07,9060000,1819118429,312,UUEwl20VxZ3AwOgiKMZtI1GQ
930,5-Minute DECOR,Entertainment,24,236,1265,2019,05,9040000,2551734009,3522,UUDTeCWl-l9_6HPwG5ryckkQ
931,Izabela Stress,Entertainment,24,52,2473,2016,02,9010000,3706153716,1438,UU8-4DBG_s3OvpuNFdEYxnFA
932,Howcast,Entertainment,24,412,5519,2007,10,8980000,4505588702,22922,UUSpVHeDGr9UbREhRca0qwsA
933,Michelle Phan,Entertainment,24,162,5962,2006,07,8750000,1054753465,282,UUuYx81nzzz4OFQrhbKDzTng
934,Tati,Entertainment,24,174,4388,2010,11,8470000,1481764645,1782,UU4qk9TtGhBKCkoWz5qGJcGg
935,LaurDIY,Entertainment,24,61,3999,2011,12,8450000,416893137,315,UUap97Ue8K_BpKlrvQRYd6JA
936,grav3yardgirl,Entertainment,24,112,4363,2010,12,8360000,1706333038,1786,UUGwPbAQdGA3_88WBuGtg9tw
937,Natalies Outlet,Entertainment,24,485,3014,2014,08,8330000,1602879238,576,UUIOUkPJZtWThQBtkCRniSBw
938,WooHoo,Entertainment,24,98,1273,2019,05,8270000,3567688530,885,UU41GHsi-F40DiDT2DFAWW0w
939,Pipe Cleaner Crafts B,Entertainment,24,335,4248,2011,03,8170000,2953887390,426,UUOuQbxT3ChGo6B_cJz9InRg
940,"SLICK SLIME SAM - DIY, Comedy, Science",Entertainment,24,585,1860,2017,10,8150000,2919213297,867,UUw5VDXH8up3pKUppIvcstNQ
941,AlishaMarie,Entertainment,24,36,5322,2008,04,8010000,256114539,137,UUSReacwdlGHHyTIyuROhVdQ
942,Insider,Entertainment,24,831,2606,2015,09,7890000,4435473288,7433,UUHJuQZuzapBh-CuhRYxIZrg
943,Jauja Cocina Mexicana,Entertainment,24,982,3161,2014,03,7750000,1297436964,720,UUVZsY1CF9VwLTKgs9YLQkXw
944,blogilates,Entertainment,24,776,4901,2009,06,7640000,2045811024,1097,UUIJwWYOfsCfz6PjxbONYXSg
945,Brad Mondo,Entertainment,24,124,2756,2015,04,7610000,1363057816,495,UUoc_XJPj6YLMQDWtPDQcDtA
946,JerryRigEverything,Entertainment,24,931,3765,2012,07,7510000,1558462675,937,UUWFKCr40YwOZQx8FHU_ZqqQ
947,123 GO! CHALLENGE,Entertainment,24,294,1200,2019,08,7430000,2744407140,393,UU_O-vmjpkom1m5shISID94g
948,Tipsy Bartender,Entertainment,24,218,4394,2010,11,7070000,1209863736,2088,UUaDY8WjYWy36bnt0RVzSklw
949,FitnessBlender,Entertainment,24,761,4681,2010,01,6660000,1256010380,964,UUiP6wD_tYlYLYh3agzbByWQ
950,Ayatee,Entertainment,24,0,1630,2018,05,6630000,1003095374,192,UUmWV4bvAO4vUQtRZayT1usw
951,alpha m.,Entertainment,24,717,5243,2008,07,6600000,1187833505,1864,UU1KbedtKa3d5dleFR6OjQMg
952,5-Minute Crafts Tech,Entertainment,24,62,1286,2019,05,6500000,2012930800,3206,UUXFeIOYbhWHrXCIqerycvNQ
953,El Guzii,Entertainment,24,780,4883,2009,07,6490000,960248878,505,UUuGn3ioftOo6jvHE1YK4Bfw
954,Claudipia,Entertainment,24,352,3943,2012,01,6290000,629010214,408,UU6BaQ0hQcbCXmpujjaaoSqQ
955,Mr DegrEE,Entertainment,24,37,2112,2017,01,6170000,2892603451,876,UUeYTfGpNCmVhlxjQxBDrGPA
956,Bon Appétit,Entertainment,24,183,5311,2008,04,6140000,1670977921,1372,UUbpMy0Fg74eXXkvxJrtEn3w
957,Panlasang Pinoy,Entertainment,24,655,4997,2009,03,6130000,933386805,1219,UUIjw46txjW6oD4NU6FHaj_w
958,5-MINUTE REPAIR,Entertainment,24,189,1546,2018,08,6130000,1454456178,4316,UUuGS1iJpM_4ZYFp62mia2xQ
959,Carli Bybel,Entertainment,24,71,4157,2011,06,6120000,653242472,642,UU21yq4sq8uxTcfgIxxyE9VQ
960,Maangchi,Entertainment,24,410,5703,2007,04,6120000,680530744,482,UU8gFadPgK2r1ndqLI04Xvvw
961,POPSUGAR Fitness,Entertainment,24,593,4374,2010,11,6020000,944256023,1569,UUBINFWq52ShSgUFEoynfSwg
962,DOODLAND,Entertainment,24,688,1374,2019,02,5980000,2353738267,1311,UUhoKJPZ8-YcckVjkXav9PdA
963,Teachingmensfashion,Entertainment,24,78,3712,2012,09,5930000,979506120,2154,UUhNN7VBxPTiNrqjUaQd9bxA
964,Braille Skateboarding,Entertainment,24,653,6165,2005,12,5760000,1756408433,4929,UU9PgszLOAWhQC6orYejcJlw
965,dope2111,Entertainment,24,680,4885,2009,06,5750000,1337532932,247,UU_GvMVffgctSISDkeWlKhXQ
966,Charisma on Command,Entertainment,24,639,3163,2014,03,5720000,592146792,355,UUU_W0oE_ock8bWKjALiGs8Q
967,Bodybuilding.com,Entertainment,24,88,5032,2009,02,5680000,880655112,2901,UU97k3hlbE-1rVN8y56zyEEA
968,Architectural Digest,Entertainment,24,320,5898,2006,09,5670000,1052440201,548,UU0k238zFx-Z8xFH0sxCrPJg
969,Jaclyn Hill,Entertainment,24,528,4450,2010,09,5640000,615741852,423,UU6jgzx2g3nlbaYkd8EMweKA
970,Nawras Sattar|قناة نونو,Entertainment,24,930,2720,2015,06,5640000,351880300,223,UUzAkIgq9_98GxSOFP_MBwOw
971,Cocinemosjuntos.com,Entertainment,24,533,5879,2006,10,5570000,769184078,1400,UUIRNADSE7zTt6_MshDlnZSA
972,RosyMcMichael,Entertainment,24,625,4538,2010,06,5550000,1216858261,1717,UUZq1cMuSl4V3mnJCW3uTZMQ
973,Madras Samayal,Entertainment,24,522,2532,2015,12,5530000,1296465400,651,UUHGktfcQq2BY_8tGPHwvm7g
974,A Plus School,Entertainment,24,213,1123,2019,10,5490000,2879054469,2129,UUWQaDiVUXywva_9my1DTJ5A
975,Thaitrick,Entertainment,24,85,2760,2015,04,5170000,725982254,162,UUobJuNZM0teTrd2YLnDUTzA
976,Roccibella,Entertainment,24,444,2586,2015,10,5040000,391868940,1231,UUznTrr5_Jhs8ryRHNo50fBQ
977,5-MINUTE MAGIC,Entertainment,24,158,1621,2018,06,5030000,1266746456,3185,UUnobTPLeBxWHurWHq8jzsnA
978,Cooking With Lynja,Entertainment,24,46,3282,2013,11,4970000,1546517918,350,UUjvGPQTRr2eIEhthL5y31VQ
979,123 GO! FOOD,Entertainment,24,411,1235,2019,06,4900000,1704851012,294,UUHAahQqEGNM-Usc4FJTAVdw
980,Tiny Cakes,Entertainment,24,652,4617,2010,03,4870000,1730657677,901,UUFGTzZL-yxzlD2ZF90XKFkg
981,Manny Mua,Entertainment,24,546,3041,2014,07,4860000,580468654,668,UUbO9bltbkYwa56nZFQx6XJg
982,Pickle Slime,Entertainment,24,80,1961,2017,07,4740000,21039917,74,UUS83hSDCu-fVLvRLQ1aiktQ
983,La La Life,Entertainment,24,356,1076,2019,12,4740000,2539108472,363,UUvHhQJcsnDEoVMZWA5xnRZA
984,Denitslava Makeup,Entertainment,24,266,2581,2015,10,4700000,536602157,394,UUXoY0ZeHZBe0p-ByCiYP_XQ
985,Meg DeAngelis,Entertainment,24,395,5325,2008,04,4680000,243501163,166,UUJi_befq0YDYJ9fCeyHxJbg
986,albert_cancook,Entertainment,24,18,720,2020,11,4680000,2793752020,437,UU0NkSnlCOhoODbykzZwpiDw
987,Mr. Cakes,Entertainment,24,374,2111,2017,02,4680000,1422907443,590,UUPyXaNnvtIMnJ_VSgYlXIVw
988,SixPackAbs.com,Entertainment,24,709,4730,2009,12,4620000,581317644,696,UUH9ciCUcWavMsFcAJtLUSyw
989,Laura Lee,Entertainment,24,975,4905,2009,06,4610000,766677658,943,UUKMugoa0uHpjUuq14yOpagw
990,Hyram,Entertainment,24,783,2553,2015,11,4570000,410549494,561,UU2sYit3cZ2CuD_8FHYH7O_Q
991,Glamour,Entertainment,24,455,5703,2007,04,4570000,1718729355,1901,UUY9eEaH19ulZmdusctU1ejA
992,123 GO Like!,Entertainment,24,504,1108,2019,11,4560000,2067447798,474,UUu_ytbeyzLZfIKWr43QSb5A
993,Satisfying Slime Videos,Entertainment,24,265,2344,2016,06,4500000,1382998447,1438,UU2aOVFrN_7cakW2un_MkraQ
994,Bobby Duke Arts,Entertainment,24,331,3995,2011,12,4480000,451616803,104,UUSC1HqVmTaE4Shn32ihbC7w
995,Epicurious,Entertainment,24,27,5520,2007,10,4470000,1222746716,1427,UUcjhYlL1WRBjKaJsMH_h7Lg
996,Teen-Z,Entertainment,24,713,1097,2019,11,4420000,1322103239,287,UUgJMDt2yFAtWAKOIqwihLlw
